Forward analysis for >>[(smh(eh)*efh+smfh+sb(he)*g(fh+h)+sch(eh)*ed(g(fh+h)+h)+scd(g(fh+h)+h)+wgfdq+wgdfq+wfgdq+wfdgq+wdgfq+wdfgq+fwgdq+fwdgq+fgwdq+fgdwq+fdwgq+fdgwq+gwdfq+gwfdq+gfdwq+gdfwq+gdwfq+dwgfq+dwfgq+dfwgq+dgwfq+sw(d(g(fh+h)+h)+h)+sd(g(fh+h)+h)+sg(fh+h)+sfh+dgfwq+dfgwq+gfwdq+sh+q)(smh(eh)*efh+smfh+sb(he)*g(fh+h)+sch(eh)*ed(g(fh+h)+h)+scd(g(fh+h)+h)+sw(d(g(fh+h)+h)+h)+sd(g(fh+h)+h)+sg(fh+h)+sfh+sh)*]<< : ([_1(((s_1(m_1(h_1(((e_1h_2)*)(e_2(f_1h_3))))))+((s_2(m_2(f_2h_4)))+((s_3(b_1(((h_5e_3)*)(g_1((f_3h_6)+h_7)))))+((s_4(c_1(h_8(((e_4h_9)*)(e_5(d_1((g_2((f_4h_10)+h_11))+h_12)))))))+((s_5(c_2(d_2((g_3((f_5h_13)+h_14))+h_15))))+((w_1(g_4(f_6(d_3q_1))))+((w_2(g_5(d_4(f_7q_2))))+((w_3(f_8(g_6(d_5q_3))))+((w_4(f_9(d_6(g_7q_4))))+((w_5(d_7(g_8(f_10q_5))))+((w_6(d_8(f_11(g_9q_6))))+((f_12(w_7(g_10(d_9q_7))))+((f_13(w_8(d_10(g_11q_8))))+((f_14(g_12(w_9(d_11q_9))))+((f_15(g_13(d_12(w_10q_10))))+((f_16(d_13(w_11(g_14q_11))))+((f_17(d_14(g_15(w_12q_12))))+((g_16(w_13(d_15(f_18q_13))))+((g_17(w_14(f_19(d_16q_14))))+((g_18(f_20(d_17(w_15q_15))))+((g_19(d_18(f_21(w_16q_16))))+((g_20(d_19(w_17(f_22q_17))))+((d_20(w_18(g_21(f_23q_18))))+((d_21(w_19(f_24(g_22q_19))))+((d_22(f_25(w_20(g_23q_20))))+((d_23(g_24(w_21(f_26q_21))))+((s_6(w_22((d_24((g_25((f_27h_16)+h_17))+h_18))+h_19)))+((s_7(d_25((g_26((f_28h_20)+h_21))+h_22)))+((s_8(g_27((f_29h_23)+h_24)))+((s_9(f_30h_25))+((d_26(g_28(f_31(w_23q_22))))+((d_27(f_32(g_29(w_24q_23))))+((g_30(f_33(w_25(d_28q_24))))+((s_10h_26)+q_25))))))))))))))))))))))))))))))))))((((s_11(m_3(h_27(((e_6h_28)*)(e_7(f_34h_29))))))+((s_12(m_4(f_35h_30)))+((s_13(b_2(((h_31e_8)*)(g_31((f_36h_32)+h_33)))))+((s_14(c_3(h_34(((e_9h_35)*)(e_10(d_29((g_32((f_37h_36)+h_37))+h_38)))))))+((s_15(c_4(d_30((g_33((f_38h_39)+h_40))+h_41))))+((s_16(w_26((d_31((g_34((f_39h_42)+h_43))+h_44))+h_45)))+((s_17(d_32((g_35((f_40h_46)+h_47))+h_48)))+((s_18(g_36((f_41h_49)+h_50)))+((s_19(f_42h_51))+(s_20h_52))))))))))*)]_1)))

State Table:
IN	ST	[	d	f	g	q	s	w	]	b	c	h	m	e	
	0	1													
[_1	1		2	3	4	5	6	7							
d_20+d_21+d_22+d_23+d_26+d_27	2			8	9			10							
f_12+f_13+f_14+f_15+f_16+f_17	3		11		12			13							
g_16+g_17+g_18+g_19+g_20+g_30	4		14	15				16							
q_25	5						17		18						
s_1+s_2+s_3+s_4+s_5+s_6+s_7+s_8+s_9+s_10	6		21	22	23			26		19	20	24	25		
w_1+w_2+w_3+w_4+w_5+w_6	7		27	28	29										
f_25+f_32	8				30			31							
g_24+g_28	9			32				33							
w_18+w_19	10			34	35										
d_13+d_14	11				36			37							
g_12+g_13	12		38					39							
w_7+w_8	13		40		41										
d_18+d_19	14			42				43							
f_20+f_33	15		44					45							
w_13+w_14	16		46	47											
s_11+s_12+s_13+s_14+s_15+s_16+s_17+s_18+s_19+s_20	17		50	51	52			55		48	49	53	54		
]_1	18														
b_1	19				56							57			
c_1+c_2	20		58									59			
d_25	21				60							61			
f_30	22											62			
g_27	23			63								64			
h_26	24						17		18						
m_1+m_2	25			65								66			
w_22	26		67									68			
d_7+d_8	27			69	70										
f_8+f_9	28		71		72										
g_4+g_5	29		73	74											
g_29	30							75							
w_20	31				76										
f_31	32							77							
w_21	33			78											
f_24	34				79										
g_21	35			80											
g_15	36							81							
w_11	37				82										
d_12	38							83							
w_9	39		84												
d_10	40				85										
g_10	41		86												
f_21	42							87							
w_17	43			88											
d_17	44							89							
w_25	45		90												
d_15	46			91											
f_19	47		92												
b_2	48				93							94			
c_3+c_4	49		95									96			
d_32	50				97							98			
f_42	51											99			
g_36	52			100								101			
h_52	53						17		18						
m_3+m_4	54			102								103			
w_26	55		104									105			
g_1	56			106								107			
h_5	57													108	
d_2	58				109							110			
h_8	59													111	
g_26	60			112								113			
h_22	61						17		18						
h_25	62						17		18						
f_29	63											114			
h_24	64						17		18						
f_2	65											115			
h_1	66													116	
d_24	67				117							118			
h_19	68						17		18						
f_11	69				119										
g_8	70			120											
d_6	71				121										
g_6	72		122												
d_4	73			123											
f_6	74		124												
w_24	75					125									
g_23	76					126									
w_23	77					127									
f_26	78					128									
g_22	79					129									
f_23	80					130									
w_12	81					131									
g_14	82					132									
w_10	83					133									
d_11	84					134									
g_11	85					135									
d_9	86					136									
w_16	87					137									
f_22	88					138									
w_15	89					139									
d_28	90					140									
f_18	91					141									
d_16	92					142									
g_31	93			143								144			
h_31	94													145	
d_30	95				146							147			
h_34	96													148	
g_35	97			149								150			
h_48	98						17		18						
h_51	99						17		18						
f_41	100											151			
h_50	101						17		18						
f_35	102											152			
h_27	103													153	
d_31	104				154							155			
h_45	105						17		18						
f_3	106											156			
h_7	107						17		18						
e_3	108				56							57			
g_3	109			157								158			
h_15	110						17		18						
e_4+e_5	111		159									160			
f_28	112											161			
h_21	113						17		18						
h_23	114						17		18						
h_4	115						17		18						
e_1+e_2	116			162								163			
g_25	117			164								165			
h_18	118						17		18						
g_9	119					166									
f_10	120					167									
g_7	121					168									
d_5	122					169									
f_7	123					170									
d_3	124					171									
q_23	125						17		18						
q_20	126						17		18						
q_22	127						17		18						
q_21	128						17		18						
q_19	129						17		18						
q_18	130						17		18						
q_12	131						17		18						
q_11	132						17		18						
q_10	133						17		18						
q_9	134						17		18						
q_8	135						17		18						
q_7	136						17		18						
q_16	137						17		18						
q_17	138						17		18						
q_15	139						17		18						
q_24	140						17		18						
q_13	141						17		18						
q_14	142						17		18						
f_36	143											172			
h_33	144						17		18						
e_8	145				93							94			
g_33	146			173								174			
h_41	147						17		18						
e_9+e_10	148		175									176			
f_40	149											177			
h_47	150						17		18						
h_49	151						17		18						
h_30	152						17		18						
e_6+e_7	153			178								179			
g_34	154			180								181			
h_44	155						17		18						
h_6	156						17		18						
f_5	157											182			
h_14	158						17		18						
d_1	159				183							184			
h_9	160													111	
h_20	161						17		18						
f_1	162											185			
h_2	163													116	
f_27	164											186			
h_17	165						17		18						
q_6	166						17		18						
q_5	167						17		18						
q_4	168						17		18						
q_3	169						17		18						
q_2	170						17		18						
q_1	171						17		18						
h_32	172						17		18						
f_38	173											187			
h_40	174						17		18						
d_29	175				188							189			
h_35	176													148	
h_46	177						17		18						
f_34	178											190			
h_28	179													153	
f_39	180											191			
h_43	181						17		18						
h_13	182						17		18						
g_2	183			192								193			
h_12	184						17		18						
h_3	185						17		18						
h_16	186						17		18						
h_39	187						17		18						
g_32	188			194								195			
h_38	189						17		18						
h_29	190						17		18						
h_42	191						17		18						
f_4	192											196			
h_11	193						17		18						
f_37	194											197			
h_37	195						17		18						
h_10	196						17		18						
h_36	197						17		18						

Right-Left-Context - Table:
L_x	Symbol	R_x	
	[_1	d_2+f_3+g_4+q_5+s_6+w_7	
[_1	d_2	f_8+g_9+w_10	
[_1	f_3	d_11+g_12+w_13	
[_1	g_4	d_14+f_15+w_16	
[_1	q_5	s_17+]_18	
[_1	s_6	d_21+f_22+g_23+w_26+b_19+c_20+h_24+m_25	
[_1	w_7	d_27+f_28+g_29	
d_2	f_8	g_30+w_31	
d_2	g_9	f_32+w_33	
d_2	w_10	f_34+g_35	
f_3	d_11	g_36+w_37	
f_3	g_12	d_38+w_39	
f_3	w_13	d_40+g_41	
g_4	d_14	f_42+w_43	
g_4	f_15	d_44+w_45	
g_4	w_16	d_46+f_47	
q_5+h_24+h_53+h_61+h_62+h_64+h_68+h_98+h_99+h_101+h_105+h_107+h_110+h_113+h_114+h_115+h_118+q_125+q_126+q_127+q_128+q_129+q_130+q_131+q_132+q_133+q_134+q_135+q_136+q_137+q_138+q_139+q_140+q_141+q_142+h_144+h_147+h_150+h_151+h_152+h_155+h_156+h_158+h_161+h_165+q_166+q_167+q_168+q_169+q_170+q_171+h_172+h_174+h_177+h_181+h_182+h_184+h_185+h_186+h_187+h_189+h_190+h_191+h_193+h_195+h_196+h_197	s_17	d_50+f_51+g_52+w_55+b_48+c_49+h_53+m_54	
q_5+h_24+h_53+h_61+h_62+h_64+h_68+h_98+h_99+h_101+h_105+h_107+h_110+h_113+h_114+h_115+h_118+q_125+q_126+q_127+q_128+q_129+q_130+q_131+q_132+q_133+q_134+q_135+q_136+q_137+q_138+q_139+q_140+q_141+q_142+h_144+h_147+h_150+h_151+h_152+h_155+h_156+h_158+h_161+h_165+q_166+q_167+q_168+q_169+q_170+q_171+h_172+h_174+h_177+h_181+h_182+h_184+h_185+h_186+h_187+h_189+h_190+h_191+h_193+h_195+h_196+h_197	]_18		
s_6	b_19	g_56+h_57	
s_6	c_20	d_58+h_59	
s_6	d_21	g_60+h_61	
s_6	f_22	h_62	
s_6	g_23	f_63+h_64	
s_6	h_24	s_17+]_18	
s_6	m_25	f_65+h_66	
s_6	w_26	d_67+h_68	
w_7	d_27	f_69+g_70	
w_7	f_28	d_71+g_72	
w_7	g_29	d_73+f_74	
f_8	g_30	w_75	
f_8	w_31	g_76	
g_9	f_32	w_77	
g_9	w_33	f_78	
w_10	f_34	g_79	
w_10	g_35	f_80	
d_11	g_36	w_81	
d_11	w_37	g_82	
g_12	d_38	w_83	
g_12	w_39	d_84	
w_13	d_40	g_85	
w_13	g_41	d_86	
d_14	f_42	w_87	
d_14	w_43	f_88	
f_15	d_44	w_89	
f_15	w_45	d_90	
w_16	d_46	f_91	
w_16	f_47	d_92	
s_17	b_48	g_93+h_94	
s_17	c_49	d_95+h_96	
s_17	d_50	g_97+h_98	
s_17	f_51	h_99	
s_17	g_52	f_100+h_101	
s_17	h_53	s_17+]_18	
s_17	m_54	f_102+h_103	
s_17	w_55	d_104+h_105	
b_19+e_108	g_56	f_106+h_107	
b_19+e_108	h_57	e_108	
c_20	d_58	g_109+h_110	
c_20	h_59	e_111	
d_21	g_60	f_112+h_113	
d_21	h_61	s_17+]_18	
f_22	h_62	s_17+]_18	
g_23	f_63	h_114	
g_23	h_64	s_17+]_18	
m_25	f_65	h_115	
m_25	h_66	e_116	
w_26	d_67	g_117+h_118	
w_26	h_68	s_17+]_18	
d_27	f_69	g_119	
d_27	g_70	f_120	
f_28	d_71	g_121	
f_28	g_72	d_122	
g_29	d_73	f_123	
g_29	f_74	d_124	
g_30	w_75	q_125	
w_31	g_76	q_126	
f_32	w_77	q_127	
w_33	f_78	q_128	
f_34	g_79	q_129	
g_35	f_80	q_130	
g_36	w_81	q_131	
w_37	g_82	q_132	
d_38	w_83	q_133	
w_39	d_84	q_134	
d_40	g_85	q_135	
g_41	d_86	q_136	
f_42	w_87	q_137	
w_43	f_88	q_138	
d_44	w_89	q_139	
w_45	d_90	q_140	
d_46	f_91	q_141	
f_47	d_92	q_142	
b_48+e_145	g_93	f_143+h_144	
b_48+e_145	h_94	e_145	
c_49	d_95	g_146+h_147	
c_49	h_96	e_148	
d_50	g_97	f_149+h_150	
d_50	h_98	s_17+]_18	
f_51	h_99	s_17+]_18	
g_52	f_100	h_151	
g_52	h_101	s_17+]_18	
m_54	f_102	h_152	
m_54	h_103	e_153	
w_55	d_104	g_154+h_155	
w_55	h_105	s_17+]_18	
g_56	f_106	h_156	
g_56	h_107	s_17+]_18	
h_57	e_108	g_56+h_57	
d_58	g_109	f_157+h_158	
d_58	h_110	s_17+]_18	
h_59+h_160	e_111	d_159+h_160	
g_60	f_112	h_161	
g_60	h_113	s_17+]_18	
f_63	h_114	s_17+]_18	
f_65	h_115	s_17+]_18	
h_66+h_163	e_116	f_162+h_163	
d_67	g_117	f_164+h_165	
d_67	h_118	s_17+]_18	
f_69	g_119	q_166	
g_70	f_120	q_167	
d_71	g_121	q_168	
g_72	d_122	q_169	
d_73	f_123	q_170	
f_74	d_124	q_171	
w_75	q_125	s_17+]_18	
g_76	q_126	s_17+]_18	
w_77	q_127	s_17+]_18	
